"Date","Apple","RIM","Nokia","Sony","Samsung","Nintendo","Google","LG","Motorola","Palm","HTC","Other"
2010-04,58.64,28.3,9.94,1.84,0.6,0.26,0.21,0.05,0.06,0.05,0.02,0.02
2010-05,59.47,27.61,9.32,1.88,1.09,0.28,0.22,0.04,0.01,0.04,0.01,0.01
2010-06,55,31.46,9.66,2.16,1.17,0.25,0.21,0.05,0,0.03,0.01,0.01
2010-07,52.5,35.45,8.58,1.93,0.92,0.2,0.22,0.12,0.04,0.03,0.01,0.01
2010-08,51.21,37.65,7.85,1.82,0.87,0.16,0.21,0.15,0.04,0.02,0.01,0.01
2010-09,74.3,9.57,11.52,2.68,1.26,0.22,0.22,0.14,0.05,0.03,0.01,0.01
2010-10,78.02,6.7,10.63,2.63,1.31,0.23,0.23,0.18,0.04,0.01,0.01,0.01
2010-11,78.55,6.24,10.41,2.56,1.55,0.24,0.21,0.15,0.06,0.01,0.01,0
2010-12,79.9,4.46,10.35,2.59,2.07,0.27,0.2,0.1,0.03,0.01,0.01,0.01
2010-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-02,0,0,0,0,0,0,0,0,0,0,0,0
2010-03,0,0,0,0,0,0,0,0,0,0,0,0
