"Date","Apple","Nokia","Samsung","HTC","Sony","RIM","Google","LG","Nintendo","Motorola","Other"
2011-01,81.94,10.23,1.76,0.26,2.31,2.93,0.16,0.09,0.28,0.03,0.01
2011-02,82.98,9.19,1.62,0.47,2.23,3.01,0.16,0.09,0.2,0.03,0.01
2011-03,83.31,8.52,1.63,0.52,2.21,3.34,0.15,0.13,0.17,0.02,0.01
2011-04,83.99,8.38,1.7,0.59,2.16,2.76,0.13,0.12,0.14,0.02,0.01
2011-05,84.3,8.44,1.85,0.63,2.12,2.3,0.12,0.08,0.13,0.02,0.01
2011-06,82.98,8.11,2.38,0.65,2.07,3.47,0.13,0.07,0.12,0.02,0.01
2011-07,83.81,8.12,3.58,0.77,2.31,0.82,0.34,0.07,0.13,0.03,0.01
2011-08,81.88,7.88,5.18,0.85,2.43,0.71,0.87,0.07,0.1,0.02,0.01
2011-09,81.98,6.7,6.12,1.23,2.33,0.66,0.81,0.06,0.09,0.02,0.01
2011-10,76.8,5.32,6.56,7.26,1.94,0.54,0.71,0.73,0.11,0.01,0.01
2011-11,76.99,4.58,7.02,7.04,1.72,0.55,0.7,0.86,0.1,0.41,0.01
2011-12,76.87,4.06,7.85,6.78,1.6,0.45,0.71,0.8,0.21,0.67,0.01
