"Date","Apple","Samsung","HTC","Nokia","Unknown","Sony","Google","LG","Motorola","Huawei","Nintendo","RIM","ZTE","Acer","Alcatel","Vodafone","Dell","Other"
2012-01,77.47,8.42,6.56,3.37,0,1.48,0.63,0.8,0.62,0,0.29,0.36,0,0,0,0,0,0
2012-02,77.12,9.1,6.67,3.14,0,1.4,0.59,0.8,0.63,0,0.21,0.34,0,0,0,0,0,0
2012-03,74.33,9.12,6.36,3.07,3.26,1.29,0.63,0.71,0.59,0.06,0.23,0.34,0,0,0,0,0,0.01
2012-04,73.77,9.82,6.34,2.78,2.51,1.25,1.17,0.68,0.64,0.44,0.24,0.29,0.04,0,0.01,0.01,0,0
2012-05,70.62,11.78,6.54,2.57,3.28,1.25,1.15,0.76,0.57,0.5,0.26,0.27,0.34,0,0.03,0.05,0.03,0
2012-06,70.96,13.22,6.66,2.44,1.45,1.27,1.24,0.74,0.54,0.5,0.21,0.27,0.34,0,0.04,0.07,0.03,0.01
2012-07,69.68,14.54,6.73,2.31,1.54,1.26,1.31,0.72,0.5,0.48,0.27,0.24,0.3,0,0.05,0.03,0.03,0.01
2012-08,68.61,15.83,6.75,2.1,1.41,1.24,1.32,0.73,0.5,0.45,0.29,0.22,0.28,0.16,0.04,0.02,0.03,0.01
2012-09,68.67,16.35,6.45,1.93,1.27,1.27,1.29,0.75,0.61,0.42,0.27,0.2,0.29,0.12,0.04,0.02,0.04,0.01
2012-10,68.43,16.99,6.08,1.8,1.38,1.29,1.23,0.75,0.59,0.4,0.27,0.27,0.27,0.1,0.07,0.03,0.03,0.01
2012-11,68.21,17.56,5.94,1.69,1.46,1.23,1.15,0.78,0.52,0.43,0.29,0.19,0.29,0.11,0.09,0.04,0.02,0.01
2012-12,67.07,18.61,5.85,1.67,1.57,1.28,1.17,0.87,0.47,0.44,0.28,0.15,0.29,0.1,0.09,0.04,0.02,0.02
