"Date","Apple","Samsung","HTC","Unknown","Nokia","Google","LG","Sony","Huawei","Motorola","ZTE","RIM","Nintendo","Acer","Alcatel","Xiaomi","Lenovo","Dell","Other"
2013-01,67.86,18.59,5.45,1.56,1.59,1.03,0.92,1.19,0.41,0.44,0.28,0.13,0.32,0.11,0.07,0.01,0,0.02,0.03
2013-02,68.42,18.77,5.19,1.63,1.44,0.95,0.87,1.08,0.38,0.41,0.29,0.13,0.22,0.12,0.04,0.01,0,0.03,0.03
2013-03,67.98,19.43,5.01,1.49,1.42,1.06,0.94,1.08,0.39,0.4,0.29,0.12,0.22,0.06,0.04,0.01,0,0.02,0.03
2013-04,67.83,19.64,4.85,1.57,1.46,1.06,0.96,1.11,0.37,0.36,0.27,0.13,0.21,0.05,0.04,0.01,0.01,0.01,0.03
2013-05,67.44,20.1,4.87,1.64,1.54,1.03,0.91,1.02,0.4,0.34,0.28,0.16,0.11,0.04,0.04,0.01,0.01,0.01,0.04
2013-06,67.2,20.57,4.74,1.7,1.5,1.03,0.87,0.99,0.41,0.29,0.25,0.17,0.13,0.03,0.04,0.01,0.01,0.01,0.03
2013-07,66.5,20.97,4.8,1.91,1.59,1.02,0.88,0.91,0.44,0.27,0.24,0.17,0.15,0.04,0.06,0.01,0.01,0.01,0.03
2013-08,66.25,21.29,4.75,1.98,1.62,1.04,0.85,0.83,0.45,0.25,0.24,0.19,0.09,0.06,0.06,0.01,0.01,0.01,0.03
2013-09,65.62,21.83,4.67,2.01,1.67,1.1,0.88,0.76,0.49,0.22,0.22,0.2,0.09,0.09,0.07,0.03,0.01,0.01,0.04
2013-10,65.03,22.31,4.52,2.13,1.81,1.08,0.89,0.68,0.57,0.22,0.26,0.2,0.09,0.06,0.08,0.03,0.02,0.01,0.03
2013-11,64.55,22.87,4.48,2.02,1.94,0.98,0.93,0.61,0.6,0.19,0.3,0.2,0.07,0.06,0.09,0.03,0.02,0.01,0.04
2013-12,64.04,23.05,4.48,2.13,1.96,0.92,1.06,0.57,0.75,0.16,0.27,0.23,0.06,0.12,0.09,0.03,0.03,0.01,0.05
