"Date","Apple","Samsung","HTC","Sony","Unknown","Nokia","Google","LG","Huawei","Motorola","RIM","ZTE","Alcatel","Xiaomi","Lenovo","Acer","Nintendo","Vodafone","HP","Asus","OnePlus","Micromax","Other"
2014-01,63.95,23.07,4.11,0.93,2.12,1.81,0.97,1.04,0.83,0.16,0.22,0.24,0.18,0.03,0.03,0.07,0.04,0.12,0.02,0,0,0.01,0.02
2014-02,61.16,25.28,3.89,1.72,1.95,1.75,1.28,0.99,0.83,0.16,0.19,0.22,0.23,0.03,0.03,0.06,0.05,0.12,0.01,0,0,0.01,0.03
2014-03,61.06,25.51,3.77,1.85,1.94,1.74,1.32,0.96,0.84,0.19,0.18,0.17,0.22,0.03,0.04,0.05,0.04,0.05,0.01,0,0,0.01,0.02
2014-04,60.39,25.21,3.69,1.91,2.3,1.82,1.38,1,0.94,0.27,0.17,0.16,0.45,0.03,0.04,0.05,0.04,0.08,0.02,0,0,0.02,0.02
2014-05,59.85,26.87,3.78,2.09,1.72,1.55,1.39,1.02,0.86,0.26,0.16,0.15,0.07,0.04,0.05,0.05,0.04,0,0.02,0,0,0.01,0.02
2014-06,59.43,27.16,3.77,2.23,1.65,1.68,1.37,1.03,0.8,0.27,0.16,0.13,0.06,0.04,0.05,0.05,0.04,0,0.02,0,0,0.02,0.02
2014-07,58.48,27.84,3.81,2.33,1.67,1.68,1.43,1.03,0.77,0.28,0.17,0.13,0.08,0.06,0.07,0.04,0.04,0,0.02,0.01,0,0.02,0.03
2014-08,57.89,28.29,3.86,2.51,1.66,1.65,1.35,1.08,0.73,0.29,0.16,0.12,0.08,0.08,0.08,0.04,0.04,0.01,0.02,0.02,0,0.02,0.03
2014-09,57.86,28.47,3.84,2.52,1.58,1.49,1.39,1.13,0.74,0.3,0.14,0.11,0.08,0.09,0.08,0.03,0.03,0.01,0.02,0.03,0.02,0.02,0.04
2014-10,58.79,27.59,3.71,2.49,1.47,1.52,1.38,1.17,0.77,0.34,0.14,0.11,0.1,0.12,0.08,0.03,0.03,0.01,0.02,0.04,0.04,0.02,0.04
2014-11,57.9,28.16,3.7,2.61,1.51,1.54,1.28,1.2,0.78,0.38,0.13,0.12,0.11,0.13,0.11,0.04,0.05,0.02,0.04,0.05,0.06,0.02,0.05
2014-12,60.18,26.56,3.45,2.7,1.35,1.51,1.08,1.14,0.79,0.37,0.13,0.1,0.11,0.12,0.09,0.03,0.05,0.03,0.03,0.05,0.07,0.02,0.05
