"Date","Apple","Samsung","HTC","Sony","Unknown","Nokia","LG","Huawei","Google","Motorola","Xiaomi","ZTE","RIM","Lenovo","OnePlus","Alcatel","Asus","Vodafone","HP","Oppo","Micromax","Acer","Nintendo","Meizu","T-Mobile","BBK","Coolpad","Other"
2015-01,58.9,27.13,3.45,2.66,1.39,1.66,1.2,0.84,1.1,0.53,0.14,0.13,0.16,0.16,0.1,0.11,0.06,0.06,0.05,0.02,0.02,0.04,0.04,0.01,0,0.01,0.01,0.02
2015-02,58.82,26.82,3.43,2.75,1.39,1.8,1.21,0.96,1.11,0.5,0.18,0.12,0.13,0.13,0.12,0.13,0.08,0.06,0.05,0.03,0.03,0.04,0.05,0.01,0,0.01,0.01,0.02
2015-03,57.89,26.93,3.61,2.81,1.45,1.89,1.34,0.97,1.2,0.52,0.18,0.17,0.21,0.14,0.15,0.12,0.09,0.06,0.05,0.03,0.03,0.03,0.05,0.02,0.02,0.01,0.01,0.02
2015-04,53,26.69,4.96,3.46,1.84,3.61,1.45,1.06,1.48,0.48,0.16,0.16,0.51,0.26,0.16,0.15,0.08,0.06,0.06,0.08,0.04,0.08,0.03,0.01,0.1,0.01,0.01,0.02
2015-05,53.49,28.3,4.41,3.38,1.94,2.46,1.41,1.1,1.21,0.49,0.27,0.16,0.34,0.24,0.15,0.14,0.09,0.08,0.06,0.07,0.03,0.06,0.02,0.02,0.06,0.01,0.01,0.02
2015-06,57.64,27.21,3.43,2.94,2.09,1.47,1.21,1.15,1,0.43,0.23,0.17,0.15,0.14,0.15,0.13,0.11,0.09,0.06,0.04,0.04,0.04,0.01,0.02,0.02,0.01,0.01,0.02
2015-07,59.17,26.31,2.9,2.65,2.28,1.49,1.17,1.25,0.9,0.45,0.24,0.2,0.14,0.15,0.14,0.12,0.09,0.12,0.07,0.03,0.04,0.03,0.01,0.02,0,0.01,0.01,0.02
2015-08,59.3,26.51,2.89,2.62,2.07,1.32,1.16,1.33,0.85,0.44,0.26,0.2,0.14,0.14,0.14,0.11,0.14,0.1,0.05,0.05,0.04,0.02,0.02,0.03,0,0.02,0.02,0.02
2015-09,58.57,27.27,2.75,2.6,1.87,1.35,1.2,1.43,0.83,0.44,0.26,0.31,0.12,0.15,0.15,0.13,0.18,0.1,0.05,0.07,0.04,0.02,0.02,0.04,0,0.02,0.02,0.03
2015-10,57.39,28.49,2.83,2.54,1.89,1.26,1.21,1.44,0.84,0.44,0.29,0.31,0.14,0.15,0.15,0.12,0.16,0.08,0.05,0.06,0.05,0.01,0.01,0.04,0,0.02,0.01,0.03
2015-11,59.18,27.51,2.62,2.33,1.86,1.16,1.12,1.44,0.77,0.43,0.25,0.29,0.12,0.17,0.13,0.1,0.15,0.07,0.06,0.05,0.04,0.01,0.01,0.04,0,0.03,0.01,0.03
2015-12,58.61,27.54,2.58,2.26,2.22,1.18,1.14,1.5,0.83,0.44,0.29,0.31,0.19,0.19,0.14,0.09,0.16,0.08,0.05,0.05,0.04,0.01,0.01,0.04,0,0.02,0.01,0.03
