"Date","Apple","Samsung","Unknown","Huawei","HTC","Sony","LG","Nokia","Google","Motorola","ZTE","Lenovo","Xiaomi","Asus","Oppo","OnePlus","RIM","Alcatel","Micromax","Vodafone","Meizu","HP","BBK","General Mobile","Acer","Nintendo","Other"
2016-01,59.13,27.55,2.38,1.55,2.42,2.08,1.05,1.08,0.73,0.43,0.31,0.18,0.29,0.15,0.05,0.12,0.12,0.09,0.03,0.06,0.04,0.04,0.02,0,0.02,0.01,0.04
2016-02,59.56,27.17,2.37,1.7,2.35,2.02,1.02,1.04,0.72,0.45,0.32,0.19,0.28,0.17,0.07,0.12,0.12,0.08,0.04,0.06,0.03,0.04,0.02,0,0.03,0.01,0.03
2016-03,58.76,27.82,2.28,2.03,2.28,2.22,1.01,0.79,0.66,0.45,0.29,0.22,0.31,0.22,0.08,0.13,0.1,0.07,0.03,0.06,0.03,0.04,0.04,0,0.03,0.01,0.04
2016-04,56.96,28.92,2.62,2.02,2.3,2.28,1.05,0.81,0.74,0.46,0.29,0.29,0.31,0.24,0.07,0.14,0.13,0.07,0.04,0.08,0.03,0.04,0.03,0,0.01,0.01,0.03
2016-05,58.79,26.95,2.94,2.13,2.22,2.13,1.02,0.8,0.7,0.46,0.31,0.33,0.3,0.21,0.06,0.13,0.14,0.06,0.05,0.08,0.04,0.03,0.02,0.01,0.01,0.02,0.04
2016-06,59.41,26.7,2.94,2.07,2.16,2.05,1,0.68,0.68,0.46,0.35,0.35,0.3,0.2,0.06,0.13,0.1,0.06,0.05,0.07,0.04,0.03,0.02,0.01,0.01,0.01,0.05
2016-07,57.91,27.25,3.27,2.39,2.2,2.03,1,0.65,0.67,0.49,0.43,0.51,0.32,0.2,0.06,0.13,0.09,0.06,0.08,0.06,0.04,0.03,0.02,0.03,0.01,0.01,0.05
2016-08,57.34,27.02,3.63,2.66,2.12,1.92,1.08,0.68,0.68,0.49,0.52,0.57,0.33,0.2,0.06,0.13,0.09,0.05,0.12,0.07,0.03,0.03,0.02,0.07,0.01,0.01,0.07
2016-09,56.59,26.38,4.8,2.72,2.15,1.84,1,0.63,0.65,0.59,0.62,0.67,0.33,0.22,0.06,0.13,0.08,0.05,0.2,0.05,0.03,0.03,0.02,0.06,0.01,0.01,0.08
2016-10,56.17,25.46,6.7,2.89,1.96,1.67,0.78,0.97,0.64,0.47,0.66,0.37,0.29,0.17,0.23,0.11,0.06,0.04,0.1,0.05,0.07,0.02,0.04,0,0.01,0.01,0.05
2016-11,56.19,26.72,4.63,3.07,1.81,1.65,0.74,0.92,0.78,0.46,0.68,0.38,0.46,0.17,0.59,0.14,0.06,0.13,0.1,0.06,0.05,0.02,0.05,0,0.01,0.01,0.09
2016-12,55.94,26.83,3.95,3.16,1.78,1.77,0.77,0.85,0.88,0.49,0.77,0.39,0.5,0.2,0.83,0.16,0.06,0.19,0.1,0.07,0.05,0.02,0.06,0,0.01,0.02,0.14
