"Date","Apple","Samsung","Huawei","Unknown","Oppo","HTC","Sony","ZTE","Nokia","Google","Xiaomi","LG","Motorola","Lenovo","OnePlus","Asus","Alcatel","BBK","Symphony","Micromax","Vodafone","Meizu","Mobicel","RIM","Lava","AIS","QMobile","LeEco","HP","Spice","BlackBerry","Infinix","Nintendo","Coolpad","Gionee","Other"
2017-01,56.17,26.68,3.33,3.64,1.01,1.75,1.69,0.79,0.76,0.91,0.52,0.71,0.55,0.42,0.17,0.18,0.16,0.08,0,0.1,0.06,0.05,0,0.05,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.07
2017-02,57.44,25.99,3.51,2.69,1.15,1.72,1.67,0.91,0.63,0.92,0.57,0.69,0.57,0.39,0.19,0.19,0.15,0.07,0.05,0.06,0.07,0.05,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.09
2017-03,58.04,25.07,3.65,2.82,1.24,1.61,1.56,0.94,0.72,0.88,0.63,0.63,0.54,0.42,0.2,0.2,0.15,0.11,0.08,0.06,0.07,0.05,0.01,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.09
2017-04,57.26,24.46,3.74,2.92,1.42,1.6,1.52,1.01,1.53,0.89,0.67,0.64,0.56,0.46,0.21,0.18,0.15,0.14,0.1,0.07,0.08,0.05,0.02,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.09
2017-05,55.63,23.35,3.77,3.25,1.51,1.49,1.41,1.03,3.98,0.82,0.74,0.61,0.57,0.48,0.21,0.2,0.15,0.14,0.1,0.08,0.08,0.05,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.1
2017-06,55.71,25.73,3.97,2.95,1.71,1.59,1.51,1.19,0.76,0.89,0.73,0.65,0.6,0.45,0.22,0.24,0.22,0.13,0.15,0.08,0.09,0.06,0.03,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.1
2017-07,54.9,26.14,4.13,3.11,1.87,1.62,1.5,1.18,0.48,0.91,0.81,0.68,0.63,0.49,0.23,0.21,0.21,0.15,0.16,0.09,0.08,0.06,0.05,0.03,0.05,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.1
2017-08,55.51,25.55,4.19,3.12,2.02,1.47,1.46,1.11,0.45,0.89,0.83,0.66,0.62,0.48,0.22,0.22,0.2,0.18,0.17,0.07,0.08,0.06,0.06,0.04,0.05,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.11
2017-09,55.41,24.93,4.26,3.78,2.08,1.4,1.38,1.08,0.45,0.84,0.84,0.67,0.68,0.51,0.22,0.21,0.21,0.18,0.19,0.09,0.09,0.06,0.05,0.05,0.06,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.11
2017-10,56.11,25.04,4.13,3.48,2.04,1.35,1.4,1,0.45,0.86,0.81,0.62,0.69,0.45,0.28,0.19,0.17,0.17,0.15,0.07,0.07,0.05,0.07,0.04,0.05,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.1
2017-11,56.91,23.73,4.53,3.3,2.2,1.31,1.42,0.99,0.47,0.9,0.91,0.59,0.7,0.46,0.29,0.19,0.16,0.14,0.17,0.06,0.06,0.04,0.09,0.04,0.05,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.11
2017-12,55.42,23.86,4.77,3.88,2.29,1.32,1.42,1.04,0.53,0.97,0.95,0.61,0.71,0.56,0.23,0.19,0.2,0.16,0.17,0.07,0.07,0.05,0.12,0.03,0.06,0.02,0.03,0.02,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.13
