"Date","Apple","Samsung","Huawei","Unknown","Oppo","Xiaomi","Google","Sony","HTC","ZTE","Motorola","LG","Nokia","Lenovo","Alcatel","OnePlus","Mobicel","Symphony","Asus","BBK","Optus","Lava","Micromax","Vodafone","Itel","Meizu","Smartisan","RIM","QMobile","Tecno","Infinix","Spice","AIS","Gionee","LeEco","BlackBerry","Xolo","Other"
2018-01,55.48,22.8,5.18,4.51,2.43,1.03,1,1.31,1.2,0.96,0.72,0.57,0.5,0.55,0.34,0.19,0.15,0.16,0.18,0.17,0,0.07,0.06,0.07,0.02,0.05,0.02,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.1
2018-02,55.59,23.09,5.46,3.54,2.53,1.07,1.05,1.29,1.2,1.04,0.75,0.59,0.55,0.61,0.18,0.14,0.14,0.2,0.18,0.14,0,0.09,0.08,0.06,0.03,0.04,0.02,0.04,0.04,0.02,0.03,0.02,0.02,0.01,0.01,0.02,0.01,0.12
2018-03,55.62,22.23,5.65,4.42,2.48,1.15,1.08,1.22,1.15,0.93,0.7,0.55,0.56,0.51,0.19,0.13,0.16,0.29,0.17,0.15,0,0.11,0.11,0.04,0.04,0.05,0.02,0.04,0.03,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.11
2018-04,53.9,22.27,5.99,4.63,2.76,1.3,1.18,1.19,1.05,0.94,0.76,0.59,0.69,0.53,0.17,0.14,0.21,0.37,0.18,0.17,0.12,0.16,0.13,0.04,0.08,0.06,0.04,0.03,0.04,0.02,0.02,0.03,0.03,0.02,0.01,0.02,0.02,0.12
2018-05,53.33,22.67,5.65,4.94,2.88,1.32,1.16,1.18,1.01,0.93,0.73,0.56,0.68,0.52,0.22,0.14,0.2,0.43,0.16,0.13,0.19,0.19,0.14,0.04,0.1,0.06,0.04,0.03,0.05,0.03,0.02,0.04,0.03,0.02,0.01,0.01,0.02,0.12
2018-06,51.81,23.64,5.57,5.19,3.03,1.31,1.28,1.18,0.97,0.98,0.75,0.56,0.72,0.53,0.26,0.14,0.22,0.42,0.17,0.14,0.19,0.2,0.12,0.04,0.1,0.05,0.04,0.03,0.05,0.04,0.03,0.04,0.03,0.02,0.01,0.01,0.02,0.12
2018-07,53.5,23.48,5.44,4.01,3.23,1.32,1.26,1.15,0.99,0.82,0.78,0.56,0.64,0.53,0.24,0.13,0.25,0.3,0.15,0.14,0.2,0.16,0.1,0.05,0.08,0.05,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.02,0.01,0.02,0.11
2018-08,58.27,21.81,5.82,1.69,3.2,1.29,1.3,1.05,0.94,0.69,0.68,0.56,0.48,0.4,0.24,0.33,0.27,0.05,0.15,0.15,0.21,0.03,0.02,0.03,0.02,0.03,0.04,0.02,0.01,0.03,0.02,0,0,0.01,0.02,0.02,0.01,0.09
2018-09,57.69,21.99,6.07,1.04,3.38,1.35,1.36,1.1,0.88,0.7,0.65,0.57,0.47,0.43,0.84,0.45,0.24,0,0.14,0.13,0.19,0.01,0.01,0.04,0,0.03,0.04,0.02,0,0.03,0.02,0,0,0.01,0.02,0.01,0,0.1
2018-10,61.26,20.27,5.37,0.97,3.01,1.24,1.33,0.93,0.8,0.59,0.65,0.53,0.43,0.42,0.88,0.41,0.24,0,0.13,0.1,0.15,0,0.01,0.03,0,0.02,0.03,0.02,0,0.03,0.02,0,0,0.01,0.01,0.01,0,0.08
2018-11,66.29,17.61,4.31,1.02,2.29,1.35,1.47,0.57,0.82,0.66,0.7,0.58,0.39,0.44,0.4,0.3,0.33,0,0.07,0.11,0.07,0.01,0.01,0.02,0,0.01,0.01,0.01,0,0.03,0.01,0,0,0.01,0.01,0,0,0.06
2018-12,60.27,21.89,5.33,0.93,3.06,1.52,1.58,0.69,0.79,0.56,0.68,0.55,0.39,0.42,0.2,0.46,0.31,0,0.07,0.08,0.04,0.01,0.01,0.02,0,0.01,0.01,0.01,0,0.02,0.02,0,0,0.01,0,0,0,0.06
