"Date","Apple","Samsung","Huawei","Oppo","Google","Xiaomi","Unknown","Sony","Nokia","OnePlus","Motorola","HTC","LG","Lenovo","ZTE","Mobicel","Alcatel","Asus","BBK","Optus","Vodafone","Smartisan","Tecno","Meizu","Vivo","RIM","Infinix","Other"
2019-01,58.69,24.43,5.01,2.96,1.64,1.36,0.89,0.6,0.47,0.45,0.64,0.68,0.5,0.4,0.52,0.28,0.15,0.06,0.06,0.04,0.02,0.01,0.02,0.01,0,0.01,0.01,0.08
2019-02,59.03,23.88,5.11,2.99,1.68,1.45,0.94,0.55,0.48,0.48,0.61,0.63,0.5,0.41,0.52,0.28,0.16,0.06,0.06,0.03,0.02,0.01,0.02,0.01,0,0.01,0.01,0.07
2019-03,56.95,23.75,5.87,3.63,1.62,1.49,1.04,0.82,0.59,0.57,0.6,0.6,0.49,0.39,0.46,0.28,0.28,0.14,0.09,0.11,0.03,0.02,0.02,0.02,0,0.02,0.01,0.12
2019-04,56.33,23.58,6.4,3.6,1.75,1.47,1.16,0.81,0.63,0.59,0.59,0.56,0.49,0.41,0.42,0.27,0.42,0.12,0.08,0.09,0.03,0.02,0,0.02,0,0.02,0.01,0.12
2019-05,57.77,22.6,6.81,3.51,1.57,1.46,1.11,0.72,0.68,0.54,0.55,0.5,0.45,0.36,0.39,0.25,0.27,0.11,0.07,0.08,0.03,0.02,0.01,0.02,0,0.02,0.01,0.11
2019-06,56.79,23.2,6.96,3.5,1.7,1.52,1.2,0.69,0.73,0.56,0.53,0.47,0.46,0.39,0.37,0.25,0.21,0.11,0.06,0.08,0.03,0.02,0.02,0.02,0,0.02,0.01,0.1
2019-07,55.82,23.72,7.07,3.48,1.71,1.52,1.45,0.68,0.7,0.55,0.54,0.49,0.48,0.44,0.37,0.29,0.2,0.11,0.07,0.07,0.04,0.02,0.02,0.02,0,0.01,0.01,0.1
2019-08,55.97,22.87,7.68,3.79,1.66,1.75,1.01,0.62,0.74,0.61,0.54,0.47,0.47,0.45,0.37,0.29,0.18,0.11,0.07,0.07,0.03,0.03,0.02,0.02,0.03,0.01,0.01,0.11
2019-09,55.09,22.35,9.56,3.68,1.65,1.67,1.01,0.59,0.78,0.61,0.53,0.41,0.45,0.39,0.33,0.25,0.15,0.11,0.06,0.06,0.03,0.03,0.03,0.02,0.03,0.01,0.01,0.1
2019-10,51.25,25.66,9.41,3.78,1.9,1.57,1.36,0.6,0.68,0.66,0.52,0.4,0.45,0.4,0.33,0.25,0.19,0.19,0.06,0.06,0.03,0.02,0.02,0.01,0.04,0.01,0.01,0.11
2019-11,52.5,25.22,9.36,3.68,1.91,1.54,1.17,0.53,0.6,0.63,0.5,0.35,0.42,0.37,0.27,0.26,0.17,0.13,0.05,0.05,0.02,0.02,0.02,0.01,0.04,0.01,0.01,0.14
2019-12,53.26,24.93,9.09,3.68,1.92,1.52,1.02,0.54,0.63,0.63,0.5,0.36,0.42,0.36,0.26,0.28,0.11,0.11,0.05,0.04,0.02,0.02,0.03,0.02,0.04,0.01,0.02,0.14
