,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
Samsung,2.37,3.27,3.86,3.83,4.07,4.53,4.68,5.59,6.6,7.06,7.36,7.88,8.56,9.65,10.77,11.49,12.84,12.73,12.64,13.1,13.63,14.84,14.91,14.02,14.03,17.13,17.92,19.46,20.64,21.47,21.79,21.91,22.94,22.69,23.04,24.32,25.0,25.39,25.47,25.19,25.69,26.16,25.54,27.11,27.48,27.85,30.4,30.57,31.59,32.79,32.6,32.55,32.77,33.13,33.68,33.86,33.0,32.21,32.0,32.09,32.26,32.2,31.57,31.4,31.73,32.52,32.64,31.76,30.92,30.56,30.63,32.65,32.34,32.17,32.49,32.19,32.17,32.33,32.7,34.09,33.63,33.71,33.11,33.16,33.02,33.17,33.1,33.4,33.12,33.71,32.63,31.88,31.65,31.81,31.94,31.14,30.76,30.15,30.66,30.7,30.9,30.8,30.07,28.34,30.91,32.16,31.52,31.77,32.16,31.55,31.98,31.13,31.47,31.18,31.49,31.36,31.37,31.29,30.91,30.8,30.41,30.18,31.06,30.95,31.04,30.57,30.25,30.49
Apple,33.15,33.09,30.71,30.09,29.82,26.72,26.5,25.72,28.04,30.2,29.83,29.76,28.6,27.63,25.11,25.22,24.65,27.06,28.78,29.07,27.06,28.67,30.58,24.87,21.47,22.04,24.56,25.43,24.49,23.64,23.73,23.81,23.27,25.86,27.22,27.16,26.48,25.87,25.09,24.74,23.39,22.68,20.5,21.9,21.79,23.52,22.94,23.57,23.21,23.21,24.25,24.87,23.55,24.72,25.96,23.02,23.51,22.75,23.17,22.64,20.78,20.22,20.22,20.41,19.03,18.14,17.7,19.3,19.21,19.58,19.47,18.82,18.8,18.63,20.33,19.89,20.07,19.38,19.12,18.85,18.89,19.73,19.45,19.5,19.87,19.32,19.35,18.78,20.32,19.37,19.99,20.34,19.91,19.64,20.15,20.83,19.23,18.97,18.91,19.4,20.45,20.66,22.34,24.44,21.98,22.85,23.28,22.4,22.76,22.66,22.04,22.01,22.17,22.48,22.09,22.9,24.79,24.76,25.89,27.03,28.79,26.72,25.26,24.82,25.15,24.98,26.53,27.82
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.23,20.33,12.37,8.21,7.69,7.83,8.09,8.79,9.71,10.13,10.95,10.7,9.63,10.06,10.05,10.33,11.09,12.1,12.89,15.22,12.87,13.62,13.56,11.43,10.85,10.51,10.3,10.31,10.04,10.33,9.13,8.47,9.33,9.37,9.69,9.61,10.06,10.85,11.29,12.2,12.33,13.3,13.56,13.64,13.58,14.91,15.58,15.96,14.27,14.73,15.49,14.5,15.36,15.96,17.1,16.06,11.81,10.31,8.78,8.22,8.13,7.79,7.56,7.37,7.59,6.97,7.42,7.48,7.46,7.68,7.52,7.34,8.19,7.81,7.11,6.68,6.14,5.66,4.76,4.81,5.27,4.52,4.43,4.65,4.11,4.19,4.49,5.03,5.36,3.69,3.16,3.27,3.21,2.67,2.18,1.95,1.83,1.55,1.8,1.81,1.8,1.81,1.67,1.84,2.68
Nokia,37.58,37.37,38.28,36.78,36.4,38.06,37.81,36.54,34.4,35.58,36.36,36.51,37.88,38.39,41.34,40.23,40.18,40.04,36.08,36.74,39.43,37.67,35.96,32.51,29.25,30.35,30.65,28.05,27.69,27.52,26.93,26.31,25.97,22.15,21.28,21.15,20.91,21.17,21.96,21.75,21.66,21.61,22.31,21.01,20.18,18.42,17.27,16.37,15.61,14.44,13.34,12.64,12.54,11.97,10.3,10.55,10.9,11.24,10.25,9.68,9.86,9.76,9.58,9.13,8.61,8.32,8.36,8.13,7.94,7.43,7.26,6.66,6.47,6.23,5.42,5.36,5.09,4.78,4.38,3.84,3.57,3.41,3.29,2.97,2.69,2.7,2.5,2.42,2.2,2.07,2.09,1.96,2.0,2.04,1.71,1.6,1.73,1.52,1.44,1.33,1.29,1.24,1.25,1.29,1.21,1.16,1.19,1.19,1.13,1.13,1.12,1.11,1.08,1.02,0.95,0.97,0.9,0.88,0.81,0.72,0.69,0.73,0.74,0.76,0.74,0.74,0.69,0.7
Huawei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.36,0.49,0.57,0.62,0.68,0.69,0.7,0.73,0.74,0.85,0.78,0.8,0.78,0.77,0.78,0.79,0.81,0.79,0.82,0.85,0.9,0.95,0.98,1.03,1.1,1.17,1.28,1.29,1.3,1.33,1.44,1.44,1.46,1.57,1.65,1.69,1.78,1.83,1.88,1.94,2.14,2.16,2.21,2.27,2.41,2.59,2.73,2.94,3.12,3.25,3.56,3.74,3.87,3.83,3.69,3.63,3.68,3.78,3.95,3.95,4.15,4.37,4.48,4.56,4.7,4.85,5.06,5.06,4.96,5.26,5.46,5.82,6.21,6.58,7.01,7.15,7.1,7.57,7.37,6.31,7.52,7.87,8.12,8.57,8.72,8.97,9.04,9.15,9.02,10.02,10.02,10.18,9.95,10.61,10.98,10.7,10.28,10.39,10.69,10.75,10.73,10.58,10.44,10.59
LG,0.23,0.08,0.08,0.21,0.22,0.18,0.16,0.15,0.15,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.15,0.15,1.62,1.79,1.72,1.83,1.95,1.53,1.41,1.9,2.0,2.21,2.18,2.19,2.25,2.37,2.5,2.79,2.84,2.7,2.76,2.77,2.59,2.74,2.78,2.78,2.84,2.84,2.81,2.99,3.07,3.14,3.16,3.38,3.36,3.4,3.49,3.55,3.8,4.11,4.01,4.01,4.19,4.18,4.21,4.18,4.14,4.21,4.1,4.15,4.26,4.36,4.19,4.28,4.1,4.1,4.1,3.98,4.3,4.23,4.32,4.18,4.04,4.06,3.89,3.87,3.75,3.72,3.64,3.58,3.65,3.69,3.82,3.82,3.58,3.52,3.48,3.48,3.47,3.27,3.22,3.13,3.23,3.26,3.2,3.11,3.12,3.07,2.79,2.78,2.74,2.89,2.87,2.89,2.81,2.56,2.59,2.47,2.4,2.4,2.54,2.4,2.34,2.28,2.28,2.19,2.11,2.03,1.96,1.88,1.79,1.8
Xiaomi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.05,0.06,0.07,0.08,0.06,0.08,0.08,0.08,0.14,0.19,0.22,0.28,0.36,0.43,0.52,0.6,0.63,0.63,0.72,0.79,0.8,0.92,0.78,0.74,0.7,0.73,0.75,0.82,1.01,1.06,1.05,0.99,1.02,0.94,0.92,1.35,1.87,2.11,2.16,2.39,2.59,2.77,3.06,3.28,3.55,3.58,3.59,4.0,4.38,4.75,4.85,5.11,4.97,6.12,7.02,7.02,7.34,7.12,7.39,7.26,7.83,8.44,7.88,8.03,7.52,7.21,7.46,7.39,7.76,8.38,8.26,7.79,8.16,7.73,8.1,7.8,7.7,7.6,8.36,8.55,8.94,8.9,9.49,9.67,9.59
Sony,8.3,7.96,7.9,7.9,7.81,7.84,7.81,7.04,6.6,6.26,6.23,6.16,6.1,5.99,5.64,5.49,5.37,4.69,4.32,4.05,4.11,3.92,3.72,3.29,2.92,3.01,3.06,3.11,3.16,3.15,3.08,3.02,2.87,2.78,2.77,2.86,2.82,2.75,2.65,2.45,2.34,2.21,2.15,2.05,1.88,1.97,2.65,2.93,3.11,3.18,3.19,3.47,3.47,3.42,3.62,3.69,3.64,3.6,3.62,3.62,3.69,3.65,3.49,3.36,3.26,3.24,3.25,3.23,3.14,3.07,3.01,3.13,3.07,2.98,2.95,2.77,2.66,2.56,2.39,2.37,2.39,2.3,2.22,2.13,2.11,2.04,1.99,1.93,1.86,1.88,1.82,1.78,1.71,1.71,1.64,1.6,1.57,1.5,1.46,1.42,1.4,1.36,1.29,0.84,0.83,0.79,0.75,1.15,1.14,1.11,1.01,0.94,0.9,0.85,0.84,0.83,0.77,0.8,0.8,0.76,0.76,0.78,0.78,0.75,0.73,0.69,0.67,0.68
Motorola,0.3,0.12,0.11,0.29,0.35,0.4,0.42,1.37,1.76,1.62,1.52,1.47,1.31,1.04,0.92,0.84,0.81,0.69,0.62,0.76,0.74,0.69,0.67,0.52,0.91,1.81,1.93,2.02,2.0,2.07,1.99,1.9,1.79,1.81,1.75,1.81,1.71,1.58,1.45,1.4,1.22,1.11,0.98,1.01,0.95,0.89,1.1,1.39,1.44,1.76,1.63,1.76,1.88,2.01,2.29,2.85,2.58,2.28,2.29,2.3,2.32,2.29,2.25,2.13,2.08,2.11,2.12,2.2,2.08,2.18,2.09,2.05,2.09,2.13,2.11,2.2,2.23,2.26,2.36,2.28,2.19,2.12,2.12,2.13,2.11,2.1,2.11,2.19,2.29,2.31,2.41,2.54,2.55,2.64,2.59,2.66,2.68,2.81,2.88,2.81,2.68,2.67,2.78,3.02,2.75,2.72,2.77,2.72,2.62,2.68,2.69,2.63,2.56,2.48,2.41,2.4,2.5,2.42,2.36,2.35,2.51,2.46,2.57,2.45,2.39,2.27,2.21,2.21
Oppo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.05,0.06,0.07,0.11,0.14,0.13,0.18,0.22,0.27,0.31,0.35,0.4,0.46,0.47,0.47,0.55,0.54,0.5,0.45,0.48,0.47,0.48,0.58,0.57,0.54,0.48,0.47,0.41,0.38,0.72,1.36,1.63,1.9,2.14,2.34,2.51,2.83,2.97,3.06,2.98,3.02,3.28,3.34,3.42,3.45,3.59,3.4,3.97,4.19,4.12,4.23,4.14,4.35,4.14,4.23,4.87,4.49,4.46,4.41,4.35,4.42,4.21,4.46,4.73,4.57,4.1,4.42,4.23,4.25,4.31,4.3,4.2,4.7,4.65,4.69,4.69,4.94,4.83,4.84
