2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
64.25,65.3,63.71,65.64,65.5,65.05,65.54,65.34,66.11,66.5,68.68,69.07,67.43,68.3,69.55,69.21,69.39,69.21,67.8,67.84,69.91,70.26,69.43,61.32,52.58,54.71,58.1,56.84,55.88,55.76,54.25,54.1,53.5,52.46,50.91,48.62,46.36,45.81,44.41,44.35,42.26,41.11,42.14,44.37,41.78,39.93,39.1,35.87,32.45,31.64,30.7,30.58,29.36,29.85,29.7,28.58,27.02,24.98,24.03,22.48,22.12,21.54,20.47,19.31,16.21,15.08,14.24,14.3,12.85,11.78,10.96,10.1,9.87,9.64,8.92,8.46,8.16,7.64,7.07,6.76,6.03,5.89,5.08,4.61,4.06,3.87,3.46,3.3,3.21,2.96,3.17,3.1,3.14,3.25,3.32,3.21,3.37,3.23,3.31,3.19,3.53,3.79,3.96,4.2,4.13,4.21,4.44,4.32,4.36,4.35,4.32,4.39,4.15,4.02,4.09,4.01,4.13,3.97,3.9,3.45,3.61,3.82,3.94,4.05,4.15,4.0
30.93,29.62,31.56,29.43,29.18,29.58,28.67,28.58,27.35,26.64,24.06,23.77,25.31,23.98,22.32,22.15,21.39,20.97,20.88,21.02,19.62,18.74,18.18,17.24,15.29,16.34,16.65,16.33,15.93,15.33,15.18,15.01,14.43,13.02,12.5,13.11,12.66,12.54,12.29,11.82,11.3,10.9,11.48,12.66,11.71,10.82,10.6,9.71,8.94,8.82,8.61,8.32,8.09,7.62,7.4,7.11,6.78,6.32,6.18,5.87,5.6,5.33,4.94,4.78,4.44,4.35,4.07,3.89,3.7,3.53,3.39,3.36,3.17,3.13,3.13,2.85,2.78,2.52,2.39,2.45,2.44,2.24,2.45,2.27,2.26,2.15,2.14,2.11,2.06,1.95,1.99,1.93,1.82,1.74,1.73,1.67,1.6,1.51,1.57,1.71,1.62,1.25,1.16,1.01,0.9,0.79,0.72,1.02,0.99,0.89,0.89,0.82,0.78,0.75,0.68,0.67,0.63,0.62,0.7,0.56,0.6,0.61,0.57,0.52,0.51,0.48
2.91,2.72,2.34,2.48,2.61,2.59,2.73,2.63,2.61,2.71,2.63,2.67,2.33,2.65,2.48,2.61,2.56,2.57,2.77,2.57,2.08,2.62,3.02,2.48,1.93,2.15,2.51,2.53,2.79,2.82,2.67,2.76,2.89,3.61,4.14,4.22,4.2,4.0,3.95,3.74,4.04,3.99,2.7,1.76,2.21,2.61,2.73,3.02,3.29,3.34,3.34,3.38,3.61,3.36,3.35,3.37,3.75,4.16,3.96,4.0,4.15,4.31,4.05,4.34,3.95,3.52,3.36,3.61,3.72,3.91,4.16,3.83,3.75,3.9,4.0,4.22,4.51,4.28,4.64,4.74,4.81,5.37,7.08,6.93,7.15,7.13,7.48,7.63,8.01,7.69,7.86,7.42,7.34,7.66,7.63,6.72,7.13,7.56,9.44,13.4,10.62,7.28,7.24,8.12,7.83,7.95,8.16,8.15,7.36,7.48,8.29,8.0,7.65,7.81,7.62,9.37,9.11,9.28,9.24,13.43,13.13,11.82,9.95,8.83,9.23,9.03
1.3,1.8,1.85,1.62,1.96,1.98,2.2,2.46,2.96,3.32,3.5,3.58,3.95,4.14,4.63,4.87,5.68,6.25,7.05,7.04,7.17,7.06,7.92,7.29,7.43,9.66,10.09,10.86,11.32,11.59,12.66,12.87,13.48,14.06,14.75,15.66,17.1,17.3,17.8,17.59,18.57,19.05,17.99,17.39,18.39,19.37,20.6,22.6,24.41,24.63,25.84,26.07,27.48,28.46,28.84,29.8,31.0,33.45,33.99,34.81,34.4,34.68,34.35,34.85,36.87,37.8,38.33,37.65,37.73,37.94,39.06,42.7,43.34,43.83,43.77,44.74,44.24,44.82,45.39,47.48,47.7,47.27,46.57,45.09,44.88,45.3,44.33,44.19,44.35,43.73,43.88,43.32,43.11,43.36,43.31,43.26,42.31,43.03,40.9,38.37,40.37,44.32,43.84,43.57,43.53,43.27,42.86,44.15,44.05,43.96,44.06,44.42,46.12,44.99,45.28,43.98,43.66,43.84,43.48,42.76,42.47,42.16,42.63,42.32,41.86,42.38
0.22,0.2,0.21,0.37,0.33,0.44,0.43,0.49,0.44,0.39,0.58,0.46,0.44,0.48,0.5,0.59,0.51,0.53,0.56,0.56,0.4,0.43,0.47,0.4,0.39,0.35,0.41,0.47,0.51,0.46,0.42,0.39,0.43,0.44,0.42,0.44,0.48,0.49,0.51,0.5,0.49,0.51,0.59,0.66,0.58,0.59,0.51,0.47,0.44,0.42,0.4,0.43,0.45,0.43,0.41,0.45,0.38,0.38,0.38,0.39,0.39,0.36,0.34,0.33,0.3,0.25,0.24,0.25,0.24,0.21,0.21,0.18,0.17,0.19,0.16,0.16,0.15,0.15,0.16,0.14,0.12,0.13,0.12,0.12,0.11,0.1,0.09,0.1,0.11,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.04,0.05,0.06,0.05,0.05,0.07,0.06,0.07,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02
0.21,0.18,0.14,0.29,0.17,0.11,0.17,0.17,0.17,0.15,0.21,0.17,0.21,0.14,0.17,0.24,0.12,0.1,0.15,0.14,0.17,0.12,0.12,0.16,0.1,0.17,0.16,0.17,0.14,0.12,0.15,0.13,0.13,0.14,0.12,0.13,0.12,0.12,0.15,0.15,0.15,0.13,0.13,0.15,0.14,0.15,0.13,0.13,0.13,0.12,0.16,0.15,0.14,0.15,0.14,0.13,0.15,0.16,0.18,0.18,0.16,0.17,0.14,0.14,0.12,0.12,0.13,0.14,0.21,0.14,0.15,0.15,0.13,0.15,0.16,0.12,0.13,0.1,0.14,0.12,0.12,0.12,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.15,0.15,0.13,0.13,0.12,0.15,0.16,0.18,0.21,0.17,0.18,0.21,0.17,0.15,0.2,0.19,0.13,0.15,0.16,0.15,0.13,0.15,0.17,0.16,0.14,0.14,0.16,0.15,0.15,0.15,0.11,0.1,0.1
0.09,0.07,0.09,0.06,0.09,0.11,0.16,0.22,0.24,0.21,0.23,0.18,0.22,0.19,0.26,0.25,0.25,0.25,0.34,0.32,0.29,0.3,0.39,0.33,0.34,0.61,0.78,1.08,0.99,1.09,1.32,1.22,1.48,1.6,1.62,1.81,2.12,2.24,2.45,2.66,2.81,3.15,3.32,3.32,3.47,3.42,3.21,3.29,3.31,3.32,3.44,3.49,3.47,3.79,3.71,3.79,3.99,4.05,4.08,4.02,3.94,3.99,4.21,4.11,4.44,4.59,4.95,4.98,5.1,5.03,4.87,5.01,4.91,4.79,4.77,4.62,4.46,4.36,4.17,3.98,4.14,3.81,3.45,3.44,3.3,3.2,3.23,2.99,2.97,3.03,2.94,2.75,2.84,2.68,2.66,2.85,2.78,2.61,2.48,2.18,2.23,2.35,2.15,2.38,2.08,1.99,1.93,1.79,1.81,1.72,1.66,1.67,1.61,1.5,1.36,1.2,1.19,1.14,1.08,0.87,0.81,0.93,0.92,0.84,0.83,0.81
0.03,0.03,0.02,0.03,0.06,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.01,0.02,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.07,0.07,0.07,0.08,0.09,0.12,0.11,0.13,0.12,0.12,0.14,0.15,0.15,0.17,0.1,0.08,0.11,0.12,0.13,0.13,0.16,0.15,0.16,0.17,0.19,0.18,0.18,0.16,0.18,0.19,0.18,0.18,0.18,0.2,0.2,0.21,0.22,0.25,0.26,0.3,0.35,0.26,0.24,0.23,0.23,0.24,0.22,0.18,0.42,0.18,0.18,0.2,0.21,0.2,0.23,0.21,0.21,0.2,0.19,0.17,0.17,0.16,0.16,0.17,0.14,0.14,0.15,0.14,0.16,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.1,0.1,0.09,0.1,0.11,0.12,0.12,0.12,0.11,0.13,0.13,0.14,0.13,0.16,0.14,0.15,0.12,0.12,0.15,0.12
0.03,0.03,0.05,0.05,0.05,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.04,0.05,0.05,0.04,0.05,0.07,0.38,0.45,0.32,0.41,0.39,0.4,0.29,0.34,0.41,0.44,0.47,0.51,0.48,0.52,0.54,0.64,0.64,0.64,0.66,0.64,0.65,0.64,0.7,0.72,0.53,0.4,0.49,0.57,0.58,0.61,0.64,0.63,0.61,0.63,0.64,0.66,0.65,0.63,0.71,0.77,0.8,0.81,0.91,0.95,1.05,1.18,1.26,1.39,1.57,1.64,1.81,1.93,2.13,2.1,2.25,2.28,2.33,2.51,2.43,2.54,2.69,2.7,2.68,2.77,3.49,3.48,3.57,3.5,3.63,3.53,3.47,3.44,3.35,3.24,3.01,3.12,3.05,2.85,2.82,2.75,2.92,3.04,2.64,2.29,2.22,2.33,2.0,1.93,1.84,1.79,1.66,1.54,1.52,1.53,1.45,1.33,1.24,1.17,1.13,1.06,0.99,0.89,0.88,0.86,0.81,0.7,0.63,0.6
0.01,0.01,0.02,0.02,0.02,0.04,0.01,0.05,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.01,0.02,0.01,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.03,0.01,0.02,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.02,0.01,0.03,0.03,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.04,0.03,0.06,0.02,0.02,0.04,0.03,0.02,0.02,0.02,0.04,0.05,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.03,0.03,0.04,0.07,0.11,0.12,0.13,0.14,0.04,0.06,0.05,0.04,0.03,0.03,0.04,0.04,0.03,0.04,0.06,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.05,0.1,0.05,0.06,0.08,0.08,0.09,0.11,0.13,0.13,0.11,0.11,0.11,0.13,0.12,0.13,0.13,0.11,0.11,0.1,0.09,0.11,0.13,0.1,0.09,0.08,0.12,0.11,0.15,0.16,0.15,0.14,0.13,0.13,0.13,0.14,0.15,0.17,0.15,0.14,0.13,0.13,0.12,0.11,0.1,0.12,0.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31,21.4,14.94,9.98,8.86,9.18,9.49,9.8,10.18,10.31,11.4,12.26,12.59,13.37,13.92,14.88,15.41,16.05,16.43,15.75,12.11,14.02,15.04,14.97,15.82,16.71,16.87,16.75,16.42,16.32,15.03,15.27,15.82,15.83,15.39,15.58,16.13,16.97,17.71,19.15,19.86,20.86,20.87,21.0,20.99,21.47,22.22,21.5,18.65,18.37,17.74,17.77,17.34,17.7,17.92,16.77,13.86,12.98,12.29,10.88,12.04,11.96,11.24,11.11,11.48,10.0,11.48,10.35,10.69,10.56,9.37,8.81,9.63,8.73,7.96,6.37,4.67,5.31,4.41,4.08,4.02,3.67,3.78,3.82,3.04,3.24,3.36,3.12,3.42,2.51,2.24,2.26,2.18,2.09,1.6,1.42,1.05,1.09,0.85,0.91,1.04,1.06,0.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.46,1.81,1.75,1.82,1.71,1.68,1.37,1.2,1.18,1.24,1.27,1.18,1.35,1.54,1.58,2.82,4.72,4.18,3.97,3.89,4.11,4.55,4.76,4.73,4.86,4.81,4.93,4.86,4.65,4.37,4.04,4.23,4.67,4.37,4.06,4.12,3.65,3.5,3.47,3.33,3.25,3.11,3.04,2.87,2.75,2.51,2.52,2.48,2.46,2.44,2.31,2.21,2.21,2.3,2.1,1.75,1.66,1.68,1.64,1.71,1.62,1.53,1.63,1.62,1.72,1.67,1.44,1.28,1.29,1.31,1.18,0.97,0.74,0.87,1.0,0.97,0.97,1.0,0.84,0.85,0.68,0.64,0.7,0.58,0.48,0.44,0.42,0.38,0.32,0.29,0.23,0.21,0.12,0.14,0.15,0.14,0.14,0.14,0.14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.18,0.56,0.66,0.71,0.7,0.77,0.84,0.76,0.71,0.85,0.98,1.13,1.25,1.21,1.23,1.25,1.47,1.69,1.8,1.55,1.96,2.34,2.49,3.02,3.8,4.17,4.15,4.33,4.1,4.09,3.96,3.97,4.28,4.55,4.8,4.92,5.2,5.05,5.25,5.47,5.92,6.32,6.58,6.94,7.64,7.79,8.12,8.51,8.72,8.85,9.51,9.5,9.72,10.25,10.95,11.32,11.95,12.6,13.38,14.25,14.44,15.02,15.59,15.74,16.44,16.35,16.87,17.68,18.43,19.09,19.81,20.28,21.29,21.35,22.99,23.67,23.26,22.62,23.91,22.81,23.82,24.24,24.35,23.91,24.5,24.49,24.29,24.25,23.25,24.71,24.32,24.3,24.65,24.42,24.67,22.51,22.54,23.62,24.65,25.47,25.11,24.39
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.1,0.11,0.11,0.18,0.13,0.14,0.12,0.12,0.11,0.1,0.11,0.12,0.11,0.15,0.15,0.12,0.13,0.14,0.16,0.15,0.19,0.17,0.17,0.16,0.13,0.13,0.15,0.14,0.12,0.13,0.15,0.14,0.13,0.15,0.15,0.16,0.16,0.16,0.18,0.19,0.19,0.19,0.19,0.2,0.2,0.19,0.17,0.22,0.19,0.18,0.19,0.19,0.2,0.13,0.18,0.13,0.14,0.15,0.12,0.09,0.12,0.12,0.13,0.12,0.12,0.1,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.04,0.05,0.05,0.04,0.05,0.05,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.06,0.06,0.06,0.09,0.09,0.1,0.08,0.09,0.07,0.07,0.09,0.09,0.11,0.1,0.12,0.13,0.16,0.17,0.16,0.15,0.17,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.17,0.15,0.15,0.13,0.16,0.15,0.15,0.14,0.11,0.12,0.14,0.13,0.13,0.12,0.09,0.08,0.09,0.08,0.09,0.08,0.08,0.09,0.08,0.06,0.07,0.09,0.1,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.1,0.1,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.09,0.08,0.09,0.08,0.09,0.1,0.07,0.07,0.08,0.09,0.09,0.06,0.09,0.09,0.06,0.07,0.06,0.06,0.05,0.07,0.04,0.04,0.04,0.05,0.04,0.04,0.03
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.05,0.04,0.04,0.03,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.03,0.07,0.24,0.16,0.25,0.33,0.38,0.39,0.38,0.34,0.34,0.35,0.35,0.35,0.4,0.42,0.45,0.53,0.59,0.59,0.62,0.7,0.81,0.88,1.02,1.16,1.08,1.18,1.25,1.42,1.48,1.53,1.63,1.78,1.77,1.86,1.91,2.03,2.02,2.02,1.99,1.99,1.84,1.68,1.7,1.67,1.76,1.7,1.79,1.72,1.71,1.66,1.72,1.72,1.63,1.62,1.53,1.51,1.47,1.23,1.42,1.71,1.56,1.6,1.43,1.35,1.35,1.22,1.26,1.25,1.11,1.11,1.09,0.98,0.95,0.81,0.83,0.76,0.7,0.59,0.63,0.61,0.6,0.56,0.56,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.26,0.26,0.22,0.25,0.24,0.29,0.3,0.35,0.5,0.51,0.56,0.52,0.55,0.4,0.41,0.32,0.29,0.29,0.26,0.24,0.17,0.16,0.16,0.16,0.14,0.14,0.14,0.11,0.1,0.11,0.1,0.09,0.1,0.09,0.1,0.1,0.08,0.07,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0.06,0.06,0.07,0.08,0.07,0.1,0.09,0.09,0.09,0.06,0.06,0.07,0.07,0.05,0.06,0.04,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.04,0.06,0.07,0.07,0.08,0.11,0.08,0.07,0.07,0.09,0.07,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.07,0.08,0.06,0.06,0.09,0.09,0.07,0.08,0.06,0.05,0.06,0.05,0.03,0.04,0.04,0.03,0.03,0.04,0.02,0.03,0.05,0.04,0.03,0.02,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
