"Date","Nokia","Sony","Apple","Samsung","RIM","Motorola","LG","Google","HTC","Palm","T-Mobile","Other"
2010-04,64.25,30.93,2.91,1.3,0.22,0.21,0.09,0.03,0.03,0.01,0.01,0.01
2010-05,65.3,29.62,2.72,1.8,0.2,0.18,0.07,0.03,0.03,0.01,0.03,0
2010-06,63.71,31.56,2.34,1.85,0.21,0.14,0.09,0.02,0.05,0.02,0.01,0.01
2010-07,65.64,29.43,2.48,1.62,0.37,0.29,0.06,0.03,0.05,0.02,0.02,0
2010-08,65.5,29.18,2.61,1.96,0.33,0.17,0.09,0.06,0.05,0.02,0.03,0
2010-09,65.05,29.58,2.59,1.98,0.44,0.11,0.11,0.04,0.02,0.04,0.02,0.01
2010-10,65.54,28.67,2.73,2.2,0.43,0.17,0.16,0.04,0.02,0.01,0.02,0
2010-11,65.34,28.58,2.63,2.46,0.49,0.17,0.22,0.03,0.02,0.05,0.01,0
2010-12,66.11,27.35,2.61,2.96,0.44,0.17,0.24,0.03,0.02,0.03,0.01,0.03
2010-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-02,0,0,0,0,0,0,0,0,0,0,0,0
2010-03,0,0,0,0,0,0,0,0,0,0,0,0
