"Date","Nokia","Sony","Samsung","Apple","RIM","LG","HTC","Motorola","Google","Palm","Other"
2011-01,66.5,26.64,3.32,2.71,0.39,0.21,0.02,0.15,0.04,0.03,0.01
2011-02,68.68,24.06,3.5,2.63,0.58,0.23,0.04,0.21,0.03,0.03,0.02
2011-03,69.07,23.77,3.58,2.67,0.46,0.18,0.03,0.17,0.03,0.02,0.01
2011-04,67.43,25.31,3.95,2.33,0.44,0.22,0.04,0.21,0.03,0.03,0.01
2011-05,68.3,23.98,4.14,2.65,0.48,0.19,0.05,0.14,0.02,0.03,0.01
2011-06,69.55,22.32,4.63,2.48,0.5,0.26,0.05,0.17,0.01,0.02,0.01
2011-07,69.21,22.15,4.87,2.61,0.59,0.25,0.04,0.24,0.02,0.01,0.01
2011-08,69.39,21.39,5.68,2.56,0.51,0.25,0.05,0.12,0.03,0.02,0
2011-09,69.21,20.97,6.25,2.57,0.53,0.25,0.07,0.1,0.03,0.01,0.01
2011-10,67.8,20.88,7.05,2.77,0.56,0.34,0.38,0.15,0.03,0.03,0.01
2011-11,67.84,21.02,7.04,2.57,0.56,0.32,0.45,0.14,0.02,0.03,0.01
2011-12,69.91,19.62,7.17,2.08,0.4,0.29,0.32,0.17,0.01,0.01,0.02
