"Date","Nokia","Sony","Samsung","Unknown","Apple","Micromax","LG","Huawei","HTC","RIM","Motorola","ZTE","Alcatel","Google","T-Mobile","Vodafone","Other"
2012-01,70.26,18.74,7.06,0,2.62,0,0.3,0,0.41,0.43,0.12,0,0,0.02,0.03,0,0.01
2012-02,69.43,18.18,7.92,0,3.02,0,0.39,0,0.39,0.47,0.12,0,0,0.02,0.04,0,0.01
2012-03,61.32,17.24,7.29,10.31,2.48,0,0.33,0.03,0.4,0.4,0.16,0,0,0.02,0.02,0,0.01
2012-04,52.58,15.29,7.43,21.4,1.93,0,0.34,0.18,0.29,0.39,0.1,0,0,0.03,0.01,0,0.01
2012-05,54.71,16.34,9.66,14.94,2.15,0,0.61,0.56,0.34,0.35,0.17,0.03,0.06,0.03,0.03,0.01,0.01
2012-06,58.1,16.65,10.09,9.98,2.51,0.05,0.78,0.66,0.41,0.41,0.16,0.03,0.08,0.04,0.03,0.02,0.01
2012-07,56.84,16.33,10.86,8.86,2.53,1.46,1.08,0.71,0.44,0.47,0.17,0.1,0.06,0.05,0.01,0.02,0.01
2012-08,55.88,15.93,11.32,9.18,2.79,1.81,0.99,0.7,0.47,0.51,0.14,0.11,0.06,0.07,0.02,0.01,0.03
2012-09,55.76,15.33,11.59,9.49,2.82,1.75,1.09,0.77,0.51,0.46,0.12,0.11,0.06,0.07,0.02,0.02,0.04
2012-10,54.25,15.18,12.66,9.8,2.67,1.82,1.32,0.84,0.48,0.42,0.15,0.18,0.09,0.07,0.02,0.02,0.04
2012-11,54.1,15.01,12.87,10.18,2.76,1.71,1.22,0.76,0.52,0.39,0.13,0.13,0.09,0.08,0.01,0.02,0.03
2012-12,53.5,14.43,13.48,10.31,2.89,1.68,1.48,0.71,0.54,0.43,0.13,0.14,0.1,0.09,0.02,0.02,0.06
