"Date","Nokia","Samsung","Unknown","Sony","Apple","LG","Micromax","Huawei","HTC","RIM","Motorola","ZTE","Alcatel","Lenovo","Google","Spice","Pantech","Vodafone","T-Mobile","Acer","Other"
2013-01,52.46,14.06,11.4,13.02,3.61,1.6,1.37,0.85,0.64,0.44,0.14,0.12,0.08,0,0.12,0,0.02,0.02,0.01,0.02,0.02
2013-02,50.91,14.75,12.26,12.5,4.14,1.62,1.2,0.98,0.64,0.42,0.12,0.12,0.09,0,0.11,0,0.03,0.04,0.01,0.03,0.02
2013-03,48.62,15.66,12.59,13.11,4.22,1.81,1.18,1.13,0.64,0.44,0.13,0.11,0.07,0.01,0.13,0,0.04,0.04,0.02,0.01,0.04
2013-04,46.36,17.1,13.37,12.66,4.2,2.12,1.24,1.25,0.66,0.48,0.12,0.1,0.07,0,0.12,0,0.04,0.05,0.02,0.02,0.03
2013-05,45.81,17.3,13.92,12.54,4,2.24,1.27,1.21,0.64,0.49,0.12,0.11,0.09,0.01,0.12,0,0.06,0.05,0.01,0.02,0.02
2013-06,44.41,17.8,14.88,12.29,3.95,2.45,1.18,1.23,0.65,0.51,0.15,0.12,0.09,0.01,0.14,0,0.07,0.04,0.01,0.01,0.02
2013-07,44.35,17.59,15.41,11.82,3.74,2.66,1.35,1.25,0.64,0.5,0.15,0.11,0.11,0.01,0.15,0,0.07,0.04,0.01,0.01,0.02
2013-08,42.26,18.57,16.05,11.3,4.04,2.81,1.54,1.47,0.7,0.49,0.15,0.15,0.1,0.03,0.15,0,0.08,0.04,0.02,0.02,0.04
2013-09,41.11,19.05,16.43,10.9,3.99,3.15,1.58,1.69,0.72,0.51,0.13,0.15,0.12,0.07,0.17,0,0.11,0.03,0.02,0.01,0.05
2013-10,42.14,17.99,15.75,11.48,2.7,3.32,2.82,1.8,0.53,0.59,0.13,0.12,0.13,0.24,0.1,0,0.08,0.03,0.02,0.01,0.02
2013-11,44.37,17.39,12.11,12.66,1.76,3.32,4.72,1.55,0.4,0.66,0.15,0.13,0.16,0.16,0.08,0.23,0.07,0.04,0.01,0.01,0.02
2013-12,41.78,18.39,14.02,11.71,2.21,3.47,4.18,1.96,0.49,0.58,0.14,0.14,0.17,0.25,0.11,0.26,0.07,0.05,0.02,0.01,0.02
