"Date","Nokia","Samsung","Unknown","Sony","Micromax","Huawei","LG","Apple","HTC","RIM","Spice","Lenovo","Google","Alcatel","ZTE","Motorola","Pantech","Vodafone","Acer","T-Mobile","Other"
2014-01,39.93,19.37,15.04,10.82,3.97,2.34,3.42,2.61,0.57,0.59,0.26,0.33,0.12,0.16,0.16,0.15,0.09,0.05,0.02,0.01,0.02
2014-02,39.1,20.6,14.97,10.6,3.89,2.49,3.21,2.73,0.58,0.51,0.22,0.38,0.13,0.15,0.15,0.13,0.07,0.06,0.01,0.01,0.02
2014-03,35.87,22.6,15.82,9.71,4.11,3.02,3.29,3.02,0.61,0.47,0.25,0.39,0.13,0.17,0.19,0.13,0.09,0.06,0.02,0.01,0.04
2014-04,32.45,24.41,16.71,8.94,4.55,3.8,3.31,3.29,0.64,0.44,0.24,0.38,0.16,0.16,0.17,0.13,0.09,0.06,0.02,0.01,0.03
2014-05,31.64,24.63,16.87,8.82,4.76,4.17,3.32,3.34,0.63,0.42,0.29,0.34,0.15,0.15,0.17,0.12,0.08,0.05,0.02,0.01,0.03
2014-06,30.7,25.84,16.75,8.61,4.73,4.15,3.44,3.34,0.61,0.4,0.3,0.34,0.16,0.15,0.16,0.16,0.08,0.05,0.01,0.01,0.03
2014-07,30.58,26.07,16.42,8.32,4.86,4.33,3.49,3.38,0.63,0.43,0.35,0.35,0.17,0.15,0.13,0.15,0.09,0.05,0.01,0.01,0.04
2014-08,29.36,27.48,16.32,8.09,4.81,4.1,3.47,3.61,0.64,0.45,0.5,0.35,0.19,0.16,0.13,0.14,0.08,0.05,0.02,0.01,0.07
2014-09,29.85,28.46,15.03,7.62,4.93,4.09,3.79,3.36,0.66,0.43,0.51,0.35,0.18,0.16,0.15,0.15,0.08,0.05,0.02,0.01,0.11
2014-10,29.7,28.84,15.27,7.4,4.86,3.96,3.71,3.35,0.65,0.41,0.56,0.4,0.18,0.15,0.14,0.14,0.08,0.06,0.02,0.01,0.12
2014-11,28.58,29.8,15.82,7.11,4.65,3.97,3.79,3.37,0.63,0.45,0.52,0.42,0.16,0.17,0.12,0.13,0.07,0.07,0.02,0.02,0.13
2014-12,27.02,31,15.83,6.78,4.37,4.28,3.99,3.75,0.71,0.38,0.55,0.45,0.18,0.15,0.13,0.15,0.06,0.05,0.02,0.01,0.14
