"Date","Samsung","Unknown","Nokia","Huawei","Sony","LG","Apple","Micromax","HTC","Lenovo","RIM","Google","Spice","ZTE","Motorola","Alcatel","Pantech","Asus","Xiaomi","Vodafone","Archos","OnePlus","Wiko","Lava","Acer","HP","Other"
2015-01,33.45,15.39,24.98,4.55,6.32,4.05,4.16,4.04,0.77,0.53,0.38,0.19,0.4,0.15,0.16,0.15,0.06,0.04,0.03,0.04,0.03,0.01,0.01,0.02,0.02,0.01,0.04
2015-02,33.99,15.58,24.03,4.8,6.18,4.08,3.96,4.23,0.8,0.59,0.38,0.18,0.41,0.14,0.18,0.13,0.07,0.05,0.03,0.04,0.02,0.02,0.01,0.01,0.02,0.01,0.06
2015-03,34.81,16.13,22.48,4.92,5.87,4.02,4,4.67,0.81,0.59,0.39,0.18,0.32,0.13,0.18,0.16,0.07,0.06,0.03,0.03,0.02,0.02,0.01,0.03,0.02,0.02,0.05
2015-04,34.4,16.97,22.12,5.2,5.6,3.94,4.15,4.37,0.91,0.62,0.39,0.18,0.29,0.15,0.16,0.15,0.08,0.06,0.03,0.05,0.03,0.03,0.01,0.03,0.02,0.02,0.04
2015-05,34.68,17.71,21.54,5.05,5.33,3.99,4.31,4.06,0.95,0.7,0.36,0.2,0.29,0.15,0.17,0.15,0.06,0.06,0.04,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.03
2015-06,34.35,19.15,20.47,5.25,4.94,4.21,4.05,4.12,1.05,0.81,0.34,0.2,0.26,0.16,0.14,0.14,0.06,0.05,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.03
2015-07,34.85,19.86,19.31,5.47,4.78,4.11,4.34,3.65,1.18,0.88,0.33,0.21,0.24,0.16,0.14,0.11,0.09,0.05,0.04,0.03,0.03,0.04,0.03,0.02,0.02,0.01,0.04
2015-08,36.87,20.86,16.21,5.92,4.44,4.44,3.95,3.5,1.26,1.02,0.3,0.22,0.17,0.16,0.12,0.12,0.09,0.06,0.04,0.03,0.04,0.03,0.06,0.02,0.02,0.02,0.04
2015-09,37.8,20.87,15.08,6.32,4.35,4.59,3.52,3.47,1.39,1.16,0.25,0.25,0.16,0.18,0.12,0.14,0.07,0.06,0.05,0.03,0.02,0.03,0.03,0.02,0.02,0.01,0.03
2015-10,38.33,21,14.24,6.58,4.07,4.95,3.36,3.33,1.57,1.08,0.24,0.26,0.16,0.19,0.13,0.13,0.08,0.06,0.05,0.03,0.04,0.03,0.03,0.02,0.02,0.01,0.04
2015-11,37.65,20.99,14.3,6.94,3.89,4.98,3.61,3.25,1.64,1.18,0.25,0.3,0.16,0.19,0.14,0.13,0.06,0.07,0.05,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.06
2015-12,37.73,21.47,12.85,7.64,3.7,5.1,3.72,3.11,1.81,1.25,0.24,0.35,0.14,0.19,0.21,0.12,0.05,0.07,0.05,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.05
