"Date","Samsung","Unknown","Huawei","Nokia","LG","Apple","Sony","Micromax","HTC","Lenovo","Google","Oppo","ZTE","RIM","Meizu","Motorola","Spice","Asus","Alcatel","Xiaomi","OnePlus","Wiko","Pantech","Lava","Vodafone","Archos","AIS","Acer","Panasonic","Other"
2016-01,37.94,22.22,7.79,11.78,5.03,3.91,3.53,3.04,1.93,1.42,0.26,0.01,0.19,0.21,0.05,0.14,0.14,0.08,0.09,0.05,0.03,0.02,0.06,0.02,0.03,0.02,0,0.01,0,0.03
2016-02,39.06,21.5,8.12,10.96,4.87,4.16,3.39,2.87,2.13,1.48,0.24,0.01,0.2,0.21,0.09,0.15,0.14,0.07,0.08,0.05,0.04,0.02,0.05,0.02,0.02,0.02,0,0.01,0,0.03
2016-03,42.7,18.65,8.51,10.1,5.01,3.83,3.36,2.75,2.1,1.53,0.23,0.05,0.2,0.18,0.1,0.15,0.11,0.09,0.09,0.05,0.04,0.03,0.03,0.01,0.03,0.03,0,0.02,0,0.03
2016-04,43.34,18.37,8.72,9.87,4.91,3.75,3.17,2.51,2.25,1.63,0.23,0.07,0.19,0.17,0.15,0.13,0.1,0.08,0.08,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0,0.01,0,0.03
2016-05,43.83,17.74,8.85,9.64,4.79,3.9,3.13,2.52,2.28,1.78,0.24,0.06,0.17,0.19,0.18,0.15,0.11,0.08,0.09,0.06,0.04,0.03,0.04,0.02,0.03,0.02,0,0.01,0,0.03
2016-06,43.77,17.77,9.51,8.92,4.77,4,3.13,2.48,2.33,1.77,0.22,0.08,0.22,0.16,0.19,0.16,0.1,0.08,0.08,0.06,0.05,0.04,0.03,0.02,0.02,0.02,0,0.02,0,0.03
2016-07,44.74,17.34,9.5,8.46,4.62,4.22,2.85,2.46,2.51,1.86,0.18,0.07,0.19,0.16,0.18,0.12,0.09,0.08,0.08,0.06,0.05,0.04,0.03,0.01,0.02,0.02,0,0.01,0,0.03
2016-08,44.24,17.7,9.72,8.16,4.46,4.51,2.78,2.44,2.43,1.91,0.42,0.06,0.18,0.15,0.17,0.13,0.1,0.08,0.09,0.05,0.05,0.05,0.04,0.02,0.02,0.02,0,0.01,0,0.03
2016-09,44.82,17.92,10.25,7.64,4.36,4.28,2.52,2.31,2.54,2.03,0.18,0.05,0.19,0.15,0.17,0.1,0.09,0.08,0.08,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0,0.01,0,0.02
2016-10,45.39,16.77,10.95,7.07,4.17,4.64,2.39,2.21,2.69,2.02,0.18,0.29,0.19,0.16,0.17,0.14,0.1,0.09,0.06,0.07,0.05,0.05,0.03,0.02,0.03,0.02,0,0.01,0,0.03
2016-11,47.48,13.86,11.32,6.76,3.98,4.74,2.45,2.21,2.7,2.02,0.2,0.75,0.2,0.14,0.19,0.12,0.1,0.1,0.07,0.11,0.07,0.07,0.05,0.12,0.03,0.02,0.07,0.02,0.02,0.05
2016-12,47.7,12.98,11.95,6.03,4.14,4.81,2.44,2.3,2.68,1.99,0.21,1.08,0.13,0.12,0.16,0.12,0.08,0.11,0.09,0.12,0.1,0.08,0.04,0.14,0.03,0.02,0.11,0.02,0.12,0.1
