"Date","Samsung","Huawei","Unknown","Apple","Nokia","HTC","LG","Oppo","Sony","Lenovo","Micromax","Xiaomi","Lava","OnePlus","Google","Panasonic","Asus","ZTE","Motorola","Alcatel","AIS","Haier","RIM","Meizu","Wiko","Spice","Acer","Vodafone","Meisu","BBK","Karbonn","Pantech","Blu","Archos","Hisense","Other"
2017-01,47.27,12.6,12.29,5.37,5.89,2.77,3.81,1.53,2.24,1.99,2.1,0.15,0.16,0.11,0.2,0.17,0.11,0.18,0.12,0.1,0.11,0,0.13,0.16,0.11,0.07,0.03,0.03,0.01,0.02,0.03,0.03,0.02,0.02,0.01,0.05
2017-02,46.57,13.38,10.88,7.08,5.08,3.49,3.45,1.94,2.45,1.84,1.75,0.21,0.16,0.17,0.23,0.14,0.11,0.13,0.12,0.11,0.11,0,0.12,0.13,0.1,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.06
2017-03,45.09,14.25,12.04,6.93,4.61,3.48,3.44,2.23,2.27,1.68,1.66,0.22,0.2,0.18,0.21,0.13,0.12,0.14,0.12,0.12,0.11,0.13,0.12,0.11,0.09,0.06,0.03,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.01,0.08
2017-04,44.88,14.44,11.96,7.15,4.06,3.57,3.3,2.56,2.26,1.7,1.68,0.25,0.23,0.22,0.21,0.13,0.13,0.15,0.1,0.11,0.13,0.16,0.11,0.1,0.09,0.06,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.02,0.01,0.08
2017-05,45.3,15.02,11.24,7.13,3.87,3.5,3.2,2.85,2.15,1.67,1.64,0.29,0.23,0.23,0.2,0.14,0.12,0.12,0.11,0.11,0.13,0.13,0.1,0.11,0.09,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.09
2017-06,44.33,15.59,11.11,7.48,3.46,3.63,3.23,3.12,2.14,1.76,1.71,0.31,0.24,0.24,0.19,0.16,0.14,0.09,0.11,0.11,0.12,0.13,0.09,0.09,0.09,0.05,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.11
2017-07,44.19,15.74,11.48,7.63,3.3,3.53,2.99,3.24,2.11,1.7,1.62,0.32,0.25,0.24,0.17,0.14,0.13,0.12,0.11,0.12,0.11,0.12,0.1,0.08,0.1,0.05,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.13
2017-08,44.35,16.44,10,8.01,3.21,3.47,2.97,3.6,2.06,1.79,1.53,0.36,0.25,0.25,0.17,0.15,0.13,0.12,0.11,0.12,0.11,0.13,0.11,0.1,0.11,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.13
2017-09,43.73,16.35,11.48,7.69,2.96,3.44,3.03,3.62,1.95,1.72,1.63,0.38,0.22,0.28,0.16,0.13,0.12,0.13,0.12,0.1,0.09,0.1,0.09,0.08,0.09,0.06,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.01,0.11
2017-10,43.88,16.87,10.35,7.86,3.17,3.35,2.94,3.84,1.99,1.71,1.62,0.4,0.21,0.3,0.16,0.13,0.14,0.12,0.12,0.1,0.08,0.09,0.09,0.07,0.09,0.07,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0.01,0.11
2017-11,43.32,17.68,10.69,7.42,3.1,3.24,2.75,4.01,1.93,1.66,1.72,0.41,0.27,0.26,0.17,0.12,0.13,0.12,0.13,0.11,0.07,0.11,0.09,0.07,0.09,0.07,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.11
2017-12,43.11,18.43,10.56,7.34,3.14,3.01,2.84,3.95,1.82,1.72,1.67,0.41,0.31,0.16,0.14,0.12,0.13,0.1,0.13,0.12,0.11,0.12,0.08,0.07,0.08,0.07,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.13
