"Date","Samsung","Huawei","Apple","Unknown","Oppo","Nokia","HTC","LG","Sony","Lenovo","Micromax","Xiaomi","Lava","Mobicel","OnePlus","Motorola","Google","Haier","Asus","Alcatel","Panasonic","Wiko","ZTE","Itel","Spice","RIM","AIS","Meizu","Meisu","BBK","Vodafone","Acer","Xolo","Intex","Pantech","Blu","Archos","Other"
2018-01,43.36,19.09,7.66,9.37,4.18,3.25,3.12,2.68,1.74,1.72,1.44,0.46,0.31,0.04,0.14,0.15,0.14,0.11,0.12,0.11,0.11,0.08,0.08,0.01,0.07,0.08,0.07,0.05,0.02,0.02,0.02,0.02,0,0.01,0.01,0.01,0.01,0.12
2018-02,43.31,19.81,7.63,8.81,4.31,3.32,3.05,2.66,1.73,1.63,1.28,0.52,0.34,0.06,0.12,0.15,0.15,0.11,0.12,0.11,0.1,0.07,0.08,0.02,0.06,0.07,0.06,0.06,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.13
2018-03,43.26,20.28,6.72,9.63,4.2,3.21,2.85,2.85,1.67,1.62,1.29,0.48,0.33,0.07,0.11,0.13,0.14,0.13,0.13,0.11,0.1,0.08,0.08,0.04,0.05,0.06,0.07,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.13
2018-04,42.31,21.29,7.13,8.73,4.51,3.37,2.82,2.78,1.6,1.53,1.31,0.56,0.35,0.11,0.12,0.13,0.16,0.15,0.12,0.1,0.09,0.08,0.08,0.09,0.05,0.06,0.07,0.04,0.03,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.11
2018-05,43.03,21.35,7.56,7.96,4.68,3.23,2.75,2.61,1.51,1.51,1.18,0.57,0.38,0.14,0.12,0.12,0.14,0.17,0.13,0.1,0.09,0.07,0.07,0.08,0.05,0.05,0.05,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.11
2018-06,40.9,22.99,9.44,6.37,4.78,3.31,2.92,2.48,1.57,1.47,0.97,0.65,0.35,0.19,0.15,0.15,0.14,0.16,0.13,0.11,0.09,0.08,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.1
2018-07,38.37,23.67,13.4,4.67,4.93,3.19,3.04,2.18,1.71,1.23,0.74,0.81,0.31,0.24,0.2,0.16,0.14,0.13,0.14,0.09,0.07,0.07,0.06,0.05,0.06,0.04,0.03,0.03,0.04,0.03,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.09
2018-08,40.37,23.26,10.62,5.31,4.92,3.53,2.64,2.23,1.62,1.42,0.87,0.77,0.4,0.32,0.28,0.18,0.13,0.13,0.12,0.08,0.07,0.08,0.07,0.08,0.07,0.05,0.03,0.03,0.03,0.02,0.02,0.01,0.04,0.04,0.01,0.01,0.01,0.11
2018-09,44.32,22.62,7.28,4.41,5.23,3.79,2.29,2.35,1.25,1.71,1,0.79,0.46,0.52,0.26,0.21,0.13,0.16,0.14,0.09,0.08,0.12,0.08,0.12,0.08,0.06,0.05,0.04,0.01,0.04,0.03,0.01,0.04,0.06,0.01,0.02,0.01,0.13
2018-10,43.84,23.91,7.24,4.08,5.31,3.96,2.22,2.15,1.16,1.56,0.97,0.76,0.46,0.58,0.25,0.17,0.12,0.2,0.12,0.08,0.08,0.11,0.07,0.12,0.07,0.05,0.04,0.04,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.1
2018-11,43.57,22.81,8.12,4.02,5.44,4.2,2.33,2.38,1.01,1.6,0.97,0.8,0.47,0.64,0.19,0.18,0.12,0.13,0.12,0.09,0.06,0.1,0.06,0.12,0.1,0.05,0.03,0.04,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.09
2018-12,43.53,23.82,7.83,3.67,5.89,4.13,2,2.08,0.9,1.43,1,0.92,0.44,0.62,0.28,0.21,0.12,0.14,0.12,0.1,0.06,0.08,0.06,0.15,0.09,0.07,0.03,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.08
