"Date","Samsung","Huawei","Apple","Oppo","Nokia","Unknown","Xiaomi","LG","HTC","Lenovo","Mobicel","Sony","Micromax","Lava","OnePlus","Asus","Itel","Motorola","Opp","Google","Wiko","Haier","Alcatel","Spice","Panasonic","ZTE","RIM","Meizu","Xolo","AIS","Vodafone","BBK","Other"
2019-01,43.27,24.24,7.95,5.95,4.21,3.78,1.01,1.99,1.93,1.35,0.66,0.79,0.84,0.4,0.32,0.09,0.17,0.17,0,0.12,0.08,0.1,0.07,0.09,0.05,0.07,0.06,0.03,0.02,0.03,0.01,0.01,0.12
2019-02,42.86,24.35,8.16,5.94,4.44,3.82,1.13,1.93,1.84,1.35,0.75,0.72,0.85,0.39,0.28,0.09,0.14,0.15,0,0.1,0.07,0.1,0.07,0.09,0.05,0.06,0.07,0.03,0.02,0.02,0.01,0.02,0.11
2019-03,44.15,23.91,8.15,5.92,4.32,3.04,1.22,1.79,1.79,1.22,0.66,1.02,0.68,0.44,0.35,0.13,0.15,0.2,0,0.1,0.1,0.09,0.08,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.02,0.01,0.15
2019-04,44.05,24.5,7.36,6.05,4.36,3.24,1.23,1.81,1.66,1.26,0.71,0.99,0.64,0.43,0.33,0.17,0.16,0.19,0,0.09,0.09,0.09,0.09,0.06,0.06,0.07,0.05,0.03,0.02,0.01,0.01,0.01,0.16
2019-05,43.96,24.49,7.48,6.21,4.35,3.36,1.2,1.72,1.54,1.25,0.81,0.89,0.7,0.43,0.31,0.17,0.17,0.13,0,0.1,0.08,0.1,0.09,0.07,0.05,0.04,0.05,0.04,0.02,0.01,0.02,0.01,0.15
2019-06,44.06,24.29,8.29,6,4.32,3.12,1.36,1.66,1.52,1.11,0.81,0.89,0.58,0.39,0.36,0.17,0.15,0.15,0,0.11,0.08,0.07,0.06,0.07,0.04,0.05,0.05,0.03,0.02,0.02,0.02,0.01,0.14
2019-07,44.42,24.25,8,5.85,4.39,3.42,1.34,1.67,1.53,1.11,0.82,0.82,0.48,0.35,0.35,0.17,0.14,0.16,0,0.12,0.07,0.08,0.09,0.05,0.04,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.13
2019-08,46.12,23.25,7.65,5.92,4.15,2.51,1.8,1.61,1.45,1.09,0.83,0.78,0.44,0.44,0.35,0.18,0.2,0.15,0.28,0.12,0.1,0.07,0.09,0.06,0.06,0.04,0.03,0.02,0.03,0.01,0.02,0.01,0.13
2019-09,44.99,24.71,7.81,5.87,4.02,2.24,2.02,1.5,1.33,0.98,0.88,0.75,0.42,0.44,0.37,0.18,0.18,0.13,0.44,0.12,0.07,0.07,0.06,0.04,0.05,0.05,0.03,0.02,0.02,0.02,0.01,0.02,0.13
2019-10,45.28,24.32,7.62,5.62,4.09,2.26,2.3,1.36,1.24,0.95,1.1,0.68,0.38,0.35,0.42,0.48,0.17,0.15,0.55,0.11,0.06,0.05,0.07,0.04,0.05,0.05,0.02,0.02,0.03,0.02,0.01,0.01,0.14
2019-11,43.98,24.3,9.37,5.96,4.01,2.18,2.59,1.2,1.17,0.81,1.24,0.67,0.32,0.34,0.6,0.25,0.15,0.17,0.08,0.13,0.05,0.04,0.06,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.15
2019-12,43.66,24.65,9.11,6.12,4.13,2.09,2.76,1.19,1.13,0.83,1.38,0.63,0.29,0.34,0.53,0.16,0.14,0.16,0,0.13,0.06,0.05,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.17
