"Date","Samsung","Huawei","Apple","Oppo","Xiaomi","Nokia","Mobicel","Unknown","LG","HTC","Lenovo","Sony","OnePlus","Lava","Micromax","Asus","Motorola","Google","Itel","Opp","Wiko","Alcatel","Haier","ZTE","Panasonic","RIM","Xolo","Meizu","Spice","Sharp","Vodafone","Realme","BBK","Other"
2019-09,44.99,24.71,7.81,5.87,2.02,4.02,0.88,2.24,1.5,1.33,0.98,0.75,0.37,0.44,0.42,0.18,0.13,0.12,0.18,0.44,0.07,0.06,0.07,0.05,0.05,0.03,0.02,0.02,0.04,0.01,0.01,0,0.02,0.13
2019-10,45.28,24.32,7.62,5.62,2.3,4.09,1.1,2.26,1.36,1.24,0.95,0.68,0.42,0.35,0.38,0.48,0.15,0.11,0.17,0.55,0.06,0.07,0.05,0.05,0.05,0.02,0.03,0.02,0.04,0.01,0.01,0,0.01,0.15
2019-11,43.98,24.3,9.37,5.96,2.59,4.01,1.24,2.18,1.2,1.17,0.81,0.67,0.6,0.34,0.32,0.25,0.17,0.13,0.15,0.08,0.05,0.06,0.04,0.03,0.04,0.02,0.02,0.02,0.04,0.01,0.01,0.01,0.01,0.14
2019-12,43.66,24.65,9.11,6.12,2.76,4.13,1.38,2.09,1.19,1.13,0.83,0.63,0.53,0.34,0.29,0.16,0.16,0.13,0.14,0,0.06,0.06,0.05,0.03,0.04,0.03,0.02,0.02,0.04,0.01,0.01,0.01,0.02,0.16
2020-01,43.84,24.42,9.28,6.14,3.5,3.97,1.51,1.6,1.14,1.06,0.76,0.62,0.58,0.3,0.23,0.15,0.14,0.14,0.14,0,0.06,0.05,0.05,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.15
2020-02,43.48,24.67,9.24,6.23,4.01,3.9,1.54,1.42,1.08,0.99,0.7,0.7,0.55,0.3,0.21,0.15,0.14,0.13,0.12,0,0.05,0.07,0.03,0.03,0.02,0.02,0.01,0.02,0,0.02,0.01,0.01,0.01,0.14
2020-03,42.76,22.51,13.43,5.59,4.63,3.45,1.51,1.05,0.87,0.89,0.59,0.56,0.87,0.21,0.12,0.14,0.16,0.16,0.1,0,0.05,0.04,0.03,0.02,0.01,0.02,0.02,0.01,0,0.01,0.01,0.02,0.01,0.13
2020-04,42.47,22.54,13.13,5.71,4.75,3.61,1.57,1.09,0.81,0.88,0.63,0.6,0.89,0.24,0.14,0.14,0.15,0.14,0.1,0,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0,0.01,0.02,0.02,0.01,0.13
2020-05,42.16,23.62,11.82,5.94,4.98,3.82,1.7,0.85,0.93,0.86,0.61,0.61,0.73,0.24,0.15,0.16,0.15,0.15,0.11,0,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02,0.02,0.02,0.12
2020-06,42.63,24.65,9.95,6.16,5.07,3.94,1.89,0.91,0.92,0.81,0.6,0.57,0.6,0.26,0.14,0.16,0.15,0.12,0.1,0,0.04,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0,0.02,0.02,0.02,0.01,0.11
2020-07,42.32,25.47,8.83,6.44,5.37,4.05,2.13,1.04,0.84,0.7,0.56,0.52,0.48,0.24,0.14,0.15,0.11,0.12,0.11,0,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02,0.02,0.01,0.1
2020-08,41.86,25.11,9.23,6.6,5.49,4.15,2.2,1.06,0.83,0.63,0.56,0.51,0.53,0.22,0.14,0.14,0.1,0.15,0.11,0,0.04,0.04,0.04,0.02,0.01,0.02,0.01,0.01,0,0.02,0.02,0.02,0.01,0.12
2020-09,42.38,24.39,9.03,6.49,6.54,4,2.31,0.87,0.81,0.6,0.44,0.48,0.54,0.2,0.14,0.11,0.1,0.12,0.12,0,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0,0.02,0.01,0.02,0.01,0.09
